indice_tiempo,demanda_total,demanda_residencial,comercio_e_industria,grandes_usuarios,temperatura_promedio,potencia_maxima,ede_tucuman,edelap_sa,edenor_distribuidor,edesal_distribuidor,edestesa_emp_dist__este,edesur_distribuidor,emp_de_energia_de_rio_negro_sa,emp_dist_energ_atlantica,emp_de_energia_de_la_rioja_sa,emp_dist_energia_de_salta,emp_electric_misiones_sa,empresa_dis_estero_sa,empresa_jujenia_de_energia_sa,energia_de_catamarca_sa,energia_de_entre_rios_sa,energia_de_mendoza_sa,energia_san_juan_sa_exedessa,epec_distribuidor,epen_distribuidor,epesf_distribuidor,recursos_y_energia_formosa_sa,secheep,spse_santa_cruz
2005-10-01,7403.31,2266.127,3495.353000000001,1641.83,17.2,14799.0,,,,,,,,,,,,,,,,,,,,,,,
2005-11-01,7784.34,2415.443,3642.277,1726.6200000000001,22.0,16143.0,,,,,,,,,,,,,,,,,,,,,,,
2005-12-01,8098.31,2572.563,3790.5070000000005,1735.24,22.3,15657.0,,,,,,,,,,,,,,,,,,,,,,,
2006-01-01,7957.9,2830.373,3428.727,1698.8,24.6,15831.0,,,,,,,,,,,,,,,,,,,,,,,
2006-02-01,7395.7,2515.396,3261.454,1618.85,24.3,16753.0,,,,,,,,,,,,,,,,,,,,,,,
2006-03-01,8037.6,2474.69,3540.41,2022.5,20.6,16335.0,,,,,,,,,,,,,,,,,,,,,,,
2006-04-01,7555.6,2258.193,3318.147,1979.2600000000002,19.1,15898.0,,,,,,,,,,,,,,,,,,,,,,,
2006-05-01,8116.1,2696.051,3416.579000000001,2003.4699999999998,14.1,16876.0,,,,,,,,,,,,,,,,,,,,,,,
2006-06-01,8248.9,2963.715,3374.4949999999994,1910.69,13.2,17037.0,,,,,,,,,,,,,,,,,,,,,,,
2006-07-01,8313.5,2993.796,3392.594,1927.11,14.3,17395.0,,,,,,,,,,,,,,,,,,,,,,,
2006-08-01,8497.0,3107.201,3472.059,1917.74,12.4,17309.0,,,,,,,,,,,,,,,,,,,,,,,
2006-09-01,7828.4,2614.886,3291.476999999999,1922.037,15.6,17097.0,,,,,,,,,,,,,,,,,,,,,,,
2006-10-01,8025.1,2530.829,3503.241000000001,1991.03,19.8,17252.0,,,,,,,,,,,,,,,,,,,,,,,
2006-11-01,7998.1,2551.555,3489.625,1956.92,20.5,17237.0,,,,,,,,,,,,,,,,,,,,,,,
2006-12-01,8838.9,3071.673,3802.9469999999997,1964.2800000000002,24.4,17323.0,,,,,,,,,,,,,,,,,,,,,,,
2007-01-01,8743.2,3079.471,3735.829000000001,1927.9,24.6,17073.0,,,,,,,,,,,,,,,,,,,,,,,
2007-02-01,8158.2,2790.054,3574.9959999999996,1793.15,24.6,17654.0,,,,,,,,,,,,,,,,,,,,,,,
2007-03-01,8637.8,2853.558,3795.3819999999996,1988.86,22.2,17400.0,,,,,,,,,,,,,,,,,,,,,,,
2007-04-01,8010.4,2610.215,3525.2549999999997,1874.9299999999998,18.8,17881.0,,,,,,,,,,,,,,,,,,,,,,,
2007-05-01,8789.5,3161.771,3731.9389999999994,1895.79,12.7,18279.0,,,,,,,,,,,,,,,,,,,,,,,
2007-06-01,8851.4,3576.113,3535.967,1739.3200000000002,10.9,18345.0,,,,,,,,,,,,,,,,,,,,,,,
2007-07-01,9024.5,3807.798,3564.032,1652.6699999999998,9.3,17743.0,,,,,,,,,,,,,,,,,,,,,,,
2007-08-01,9106.5,3726.224,3589.3959999999997,1790.88,10.1,17669.0,,,,,,,,,,,,,,,,,,,,,,,
2007-09-01,8082.6,2838.982,3370.0480000000007,1873.57,17.0,16590.0,,,,,,,,,,,,,,,,,,,,,,,
2007-10-01,8370.4,2810.846,3654.304,1905.25,19.2,16745.0,,,,,,,,,,,,,,,,,,,,,,,
2007-11-01,8254.4,2717.576,3591.714,1945.11,18.8,17291.0,,,,,,,,,,,,,,,,,,,,,,,
2007-12-01,8921.4,3138.571,3815.519,1967.31,23.6,17786.0,,,,,,,,,,,,,,,,,,,,,,,
2008-01-01,9175.1,3420.283,3811.277000000001,1943.54,25.6,17885.0,,,,,,,,,,,,,,,,,,,,,,,
2008-02-01,8728.8,3073.664,3705.4059999999986,1949.73,25.3,17930.0,,,,,,,,,,,,,,,,,,,,,,,
2008-03-01,8594.5,2894.605,3678.1950000000006,2021.6999999999998,22.1,17697.0,,,,,,,,,,,,,,,,,,,,,,,
2008-04-01,8286.6,2764.962,3526.868000000001,1994.77,19.0,17129.0,,,,,,,,,,,,,,,,,,,,,,,
2008-05-01,8777.8,3102.396,3625.433999999999,2049.97,15.7,18670.0,,,,,,,,,,,,,,,,,,,,,,,
2008-06-01,9209.8,3699.403,3582.686999999999,1927.71,11.8,19126.0,,,,,,,,,,,,,,,,,,,,,,,
2008-07-01,9127.1,3626.348,3476.5820000000003,2024.1699999999998,14.3,18389.0,,,,,,,,,,,,,,,,,,,,,,,
2008-08-01,9025.3,3438.115,3488.4049999999997,2098.7799999999997,13.0,18071.0,,,,,,,,,,,,,,,,,,,,,,,
2008-09-01,8587.6,3061.343,3375.9170000000004,2150.34,14.6,17615.0,,,,,,,,,,,,,,,,,,,,,,,
2008-10-01,8477.2,2898.784,3417.156000000001,2161.26,18.1,16652.0,,,,,,,,,,,,,,,,,,,,,,,
2008-11-01,8914.9,3159.108,3681.4319999999993,2074.36,24.8,18441.0,,,,,,,,,,,,,,,,,,,,,,,
2008-12-01,9053.4,3471.033,3691.1270000000004,1891.2399999999998,24.3,17571.0,,,,,,,,,,,,,,,,,,,,,,,
2009-01-01,9086.1,3533.299,3658.9610000000002,1893.8400000000001,25.8,17351.0,,,,,,,,,,,,,,,,,,,,,,,
2009-02-01,8241.6,3105.44,3404.18,1731.98,24.6,18596.0,,,,,,,,,,,,,,,,,,,,,,,
2009-03-01,8955.6,3336.438,3769.532,1849.63,23.6,17218.0,,,,,,,,,,,,,,,,,,,,,,,
2009-04-01,8104.7,2813.071,3391.869,1899.7599999999998,19.6,16963.0,,,,,,,,,,,,,,,,,,,,,,,
2009-05-01,8435.3,3047.803,3510.8569999999995,1876.6399999999999,16.4,17780.0,,,,,,,,,,,,,,,,,,,,,,,
